position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
12.95491,77.53633,20,20,6,1
12.95548,77.53614,20,20,8,1
12.94071,77.54619,20,20,18,0
12.96525,77.53672,20,20,13,0
12.93907,77.54883,20,20,16,0
12.9668,77.53673,20,20,16,0
12.93925,77.54645,20,20,16,0
12.93873,77.54704,20,20,16,0
12.95386,77.53449,20,20,6,1
12.93748,77.54879,20,20,17,0
12.93754,77.54829,20,20,17,0
12.9534,77.53413,20,20,5,1
12.93909,77.54405,20,20,15,0
12.95429,77.53349,20,20,6,1
12.95413,77.53342,20,20,6,1
12.93836,77.54252,20,20,13,0
12.95356,77.53185,20,20,6,1
12.95329,77.53176,20,20,7,1
12.95292,77.53147,20,20,6,1
12.93692,77.54301,20,20,14,0
12.95261,77.5314,20,20,6,1
12.95337,77.53116,20,20,7,1
12.96826,77.58261,20,20,15,0
12.95297,77.53064,20,20,7,1
12.9394,77.53848,20,20,8,1
12.95362,77.53039,20,20,7,1
12.9377,77.54036,20,20,13,0
12.93603,77.54265,20,20,15,0
12.9532,77.53029,20,20,8,1
12.93723,77.57426,20,20,19,0
12.93835,77.53886,20,20,13,0
12.95317,77.52995,20,20,8,1
12.95311,77.52982,20,20,8,1
12.93887,77.53675,20,18,8,1
12.95294,77.52885,20,20,8,1
12.9544,77.52845,20,20,8,1
12.95312,77.5286,20,20,8,1
12.95319,77.52841,20,20,8,1
12.95286,77.52828,20,20,8,1
12.94951,77.52635,20,11,4,2
12.94965,77.52571,20,11,4,2
12.94619,77.52561,20,6,3,2
12.95268,77.52362,20,20,7,1
12.95012,77.52378,20,19,4,1
12.95249,77.52313,20,20,6,1
12.95092,77.5234,20,20,4,1
12.95155,77.52323,20,20,5,1
12.95221,77.52289,20,20,6,1
12.95252,77.52282,20,20,6,1
12.95362,77.52259,20,20,8,1
12.95312,77.52246,20,20,7,1
12.94792,77.52355,20,6,3,2
12.95003,77.52284,20,15,3,1
12.95219,77.5223,20,20,5,1
12.94796,77.52335,20,6,3,2
12.94759,77.52338,20,5,3,2
12.95149,77.52219,20,20,6,1
12.95241,77.52199,20,20,5,0
12.95041,77.52223,20,17,4,1
19.06544,72.87606,20,16,1,0
19.06395,72.88117,20,15,1,0
19.06307,72.88267,20,11,1,2
19.06087,72.88023,20,17,1,0
19.05181,72.87534,20,15,7,0
19.09623,72.85419,20,16,1,0
19.07814,72.91175,20,20,4,1
19.0959,72.91356,20,15,4,0
19.06893,72.83916,20,20,5,1
19.10186,72.84553,20,20,6,1
19.06884,72.8385,20,20,7,1
19.11746,72.88374,20,20,5,1
19.03904,72.87763,20,4,2,2
19.03893,72.87802,20,4,2,2
19.03843,72.8782,20,4,2,2
19.10781,72.84909,20,20,5,1
19.03777,72.87783,20,3,2,2
19.03721,72.87806,20,3,2,2
19.12117,72.88558,20,20,4,1
19.11933,72.91227,20,20,7,1
19.10474,72.83062,20,16,3,0
19.0686,72.82296,20,20,4,1
19.06744,72.82266,20,20,5,1
19.12396,72.84676,20,20,2,1
19.0464,72.92555,20,10,1,0
19.12352,72.91307,20,20,7,1
19.02755,72.84646,20,20,3,1
19.12548,72.91935,20,20,3,1
19.02276,72.84948,20,20,2,1
19.01939,72.85613,20,20,2,1
19.02624,72.83943,20,20,6,1
19.02132,72.84706,20,20,4,1
19.0187,72.84828,20,20,3,1
19.01718,72.84423,20,20,5,1
19.01484,72.84468,20,20,5,1
19.01403,72.8425,20,20,7,1
19.1462,72.8459,20,10,3,0
19.01788,72.82819,20,20,1,1
19.14881,72.83934,20,20,3,1
19.14887,72.83901,20,20,3,1
19.00672,72.83705,20,20,4,1
19.00671,72.83694,20,20,4,1
19.00638,72.83675,20,20,4,1
19.00365,72.84166,20,20,4,1
19.00544,72.83661,20,20,4,2
19.00346,72.84001,20,20,3,1
19.00441,72.83753,20,20,3,1
19.13425,72.81102,20,18,3,1
19.16284,72.85792,20,15,4,0
19.00032,72.83781,20,20,4,1
18.99974,72.83859,20,20,5,1
18.99866,72.83915,20,20,5,1
18.99433,72.84493,20,20,4,1
17.38992,78.46156,20,12,5,0
17.38771,78.46172,20,6,4,2
17.38858,78.46341,20,10,5,2
17.38741,78.4634,20,7,5,2
17.38688,78.46315,20,5,4,0
17.39153,78.46189,20,12,4,0
