,title,id,language,ontologyId,resultType,access,distance,categories,references,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,contacts,chains,address.houseNumber,address.building
46,Baig Apartments,here:pds:place:356jx7ps-c3a512a008a707fa542da1391c521850,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.39212, 'lng': 78.47211}]",3513,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1103331696'}]","Baig Apartments, Mahesh Nagar, Abids, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Abids,Mahesh Nagar,,500001,17.39213,78.47208,,,,
47,Shri Sai Balaji Nilayam,here:pds:place:356jx7ps-5b99f78a04a6000a868c6186600ad27d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38861, 'lng': 78.48938}]",3516,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110411599'}]","Shri Sai Balaji Nilayam, Kutbi Guda, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda,,500027,17.38855,78.48954,,"[{'id': '28281', 'name': 'A&O reality'}]",,
48,Varma Residency,here:pds:place:356jx7ps-3bfc8dbaf29b0cafbca7580c578e9fef,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.39212, 'lng': 78.47105}]",3518,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1137586656'}]","Varma Residency, Mahesh Nagar, Abids, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Abids,Mahesh Nagar,,500001,17.39211,78.47119,,,,
49,Vishnu Vihar Apartment,here:pds:place:356tepff-23770e29f164499a90ed4e0c1e841e00,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38817, 'lng': 78.49015}]",3518,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,"Vishnu Vihar Apartment, Reliance Digitals Lane, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Reliance Digitals Lane,500027,17.38817,78.49031,,,,
50,Shri Sarada Nilayam,here:pds:place:356jx7ps-ca00d2e0d41001d945f5c2ae0efc03d8,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38967, 'lng': 78.48722}]",3518,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1137921172'}]","Shri Sarada Nilayam, 413 4th Street, Hyderguda-Rajmohalla, King Koti, Hyderabad 500095, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,King Koti,Hyderguda-Rajmohalla,4th Street,500095,17.3896,78.4873,,,413,
51,Classic Elegant Apartment,here:pds:place:356jx7ps-b91d6f0940200c2c3d66753ca539a7bd,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38825, 'lng': 78.49015}]",3519,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110412152'}]","Classic Elegant Apartment, Reliance Digitals Lane, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Reliance Digitals Lane,500027,17.38825,78.49017,,,,
52,Shri Sam Enclave,here:pds:place:356jx7ps-b2de6dd2e22d059138a459612ecdb1a4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38992, 'lng': 78.46155}]",3521,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1069895845'}]","Shri Sam Enclave, Katta Maisamma Temple Road, Aghapura-Habeeb Nagar, Nampally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Nampally,Aghapura-Habeeb Nagar,Katta Maisamma Temple Road,500001,17.38992,78.46156,,,,
53,Gayatri Nivas,here:pds:place:356jx7ps-0ccd551e8f200f1a984e5046609f42ac,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38822, 'lng': 78.49083}]",3529,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1138798196'}]","Gayatri Nivas, Chappal Bazar Road Number 3, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Chappal Bazar Road Number 3,500027,17.38806,78.49072,,,,
54,Shri Nandlal Agarwal,here:pds:place:356jx7ps-91011bbb211f08d41402e458945f3ef1,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38992, 'lng': 78.48703}]",3541,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1137920769'}]","Shri Nandlal Agarwal, Mahamkali Temple Lane, Hyderguda-Rajmohalla, King Koti, Hyderabad 500095, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,King Koti,Hyderguda-Rajmohalla,Mahamkali Temple Lane,500095,17.38992,78.48705,,,,
55,Shri Venkata Sai Nilayam,here:pds:place:356tepfc-dcf472c96b5c427999a287acd2df09ee,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38787, 'lng': 78.45631}]",3567,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1069895998'}]","Shri Venkata Sai Nilayam, Anwar Ul Uloom College Road, New Mallepally, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally,Anwar Ul Uloom College Road,500001,17.38785,78.45634,,,,
